전월세구분,dong,도로명,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,address
월세,덕진동1가,기린대로 465,21,21,21,21,21,21,21,21,21,21,21,21,21
월세,만성동,만성동로 80,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,만성동,만성북로 51-5,5,5,5,5,5,5,5,5,5,5,5,5,5
월세,반월동, ,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,우아동2가,건산로 286,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,백제대로 752,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,장동,기지로 77,52,52,52,52,52,52,52,52,52,52,52,52,52
월세,중동, 70,6,6,6,6,6,6,6,6,6,6,6,6,6
월세,팔복동1가,신복3길 6,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,기린대로 465,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,덕진동1가,들사평5길 19,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,만성동,만성동로 80,5,5,5,5,5,5,5,5,5,5,5,5,5
전세,인후동2가,백제대로 752,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,장동,기지로 77,139,139,139,139,139,139,139,139,139,139,139,139,139
전세,중동, 70,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,팔복동1가,신복3길 6,1,1,1,1,1,1,1,1,1,1,1,1,1
